employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,terminated,year_at_comp,year_current_role,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,hourly_rate,monthly_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
308,F,1991,32,Single,2,Research Scientist,Research & Development,No,7,,Part Time,Yes,,,2,0,0,"3,0",0,7,Medical,4,50550.0,4189.723333333333,521.547619047619,65.19345238095238,"10952,50$",16,1,4,4,3,"2,0",7,
309,M,1990,33,,10,Sales Executive,Sales,No,7,,,No,,No,2,0,6,"3,0",0,1,,3,47103.333333333336,3901.67,483.0634920634921,,"10144,33$",14,2,2,4,3,"2,0",3,
310,F,1980,43,Divorced,10,Laboratory Technician,Research & Development,No,9,,Part Time,No,travel_frequently,No,2,1,3,,0,0,Life Sciences,4,52570.0,4383.61,542.3888888888889,,"11390,17$",11,3,2,3,2,"4,0",1,"9,0"
311,M,1994,29,,8,Laboratory Technician,Research & Development,Yes,7,,,No,travel_rarely,,1,0,4,"3,0",0,7,,4,21343.333333333332,1765.83,218.62698412698413,,"4591,17$",11,2,1,1,4,"2,0",1,"7,0"
312,F,1996,27,,8,Sales Executive,Sales,No,8,,Part Time,No,,No,2,1,3,"3,0",0,7,,4,53914.11,4492.84,556.2566609977324,,"11681,39$",18,2,3,2,1,"3,0",1,"8,0"
313,F,1994,29,Divorced,10,Sales Executive,Sales,No,7,,Part Time,No,travel_rarely,Yes,2,2,2,"3,0",1,7,,1,53914.11,4492.84,556.2566609977324,,"11681,39$",14,4,2,2,1,"3,0",1,"7,0"
314,M,1986,37,Divorced,6,Research Scientist,Research & Development,No,7,,Full Time,No,,,2,2,2,"3,0",6,7,Medical,3,59740.0,4978.33,616.3650793650794,,"12943,67$",13,3,4,1,1,"3,0",4,"13,0"
315,M,1997,26,,1,Sales Executive,Sales,No,8,,Part Time,Yes,travel_rarely,,2,1,3,"3,0",7,7,,3,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",17,3,3,3,2,"3,0",1,
316,F,1983,40,Married,10,Laboratory Technician,Research & Development,No,7,,,Yes,travel_rarely,Yes,1,1,3,"3,0",1,7,Life Sciences,4,28111.13,2342.59,290.03550973654063,,"6090,75$",13,4,4,3,3,"3,0",3,
317,M,1982,41,,4,Sales Executive,Sales,Yes,8,,Part Time,No,,No,2,0,5,"3,0",7,7,,3,53914.11,4492.84,556.2566609977324,,"11681,39$",18,1,3,2,3,"3,0",1,"8,0"
318,F,1972,51,,14,Sales Executive,Sales,No,7,,,Yes,travel_rarely,No,2,1,2,"3,0",0,7,,2,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",11,3,3,4,3,"2,0",4,"18,0"
319,F,1986,37,,14,Laboratory Technician,Research & Development,No,18,,Full Time,No,,No,1,1,2,"3,0",12,17,,3,30340.0,2530.556666666667,313.031746031746,,"6573,67$",12,4,3,1,3,"2,0",1,
320,F,1967,56,Married,6,Sales Executive,Sales,No,7,,,Yes,,No,4,3,0,"3,0",7,7,Life Sciences,3,132040.0,11010.0,1363.142857142857,,"28626,00$",11,3,4,1,4,"2,0",9,"36,0"
321,M,1982,41,Married,1,Sales Executive,Sales,No,10,,Part Time,Yes,travel_rarely,,3,1,2,"3,0",0,7,Marketing,3,83920.0,6639.996666666666,865.8412698412699,,"18182,67$",16,2,4,1,3,"3,0",1,"10,0"
322,F,1977,46,,18,Manufacturing Director,Research & Development,No,10,,Part Time,No,,No,2,1,5,"3,0",0,8,Medical,3,53914.11,4492.84,556.2566609977324,,"11681,39$",14,3,3,3,3,"2,0",2,"19,0"
323,F,1993,30,Single,2,Laboratory Technician,Research & Development,No,11,,Part Time,No,non-travel,,1,0,2,"3,0",6,7,,3,28111.13,2342.59,290.03550973654063,,"6090,75$",14,3,3,4,3,"2,0",0,"12,0"
324,M,1988,35,,16,Healthcare Representative,Research & Development,No,8,,Part Time,No,travel_rarely,Yes,3,0,2,"3,0",0,0,Life Sciences,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",12,4,3,3,3,"3,0",4,"10,0"
325,F,1975,48,Married,2,Sales Executive,Sales,No,9,,Part Time,Yes,travel_rarely,No,2,1,2,"3,0",6,7,,5,40510.0,3375.83,417.9603174603175,52.24503968253968,"8777,17$",14,2,3,4,1,"3,0",2,"14,0"
326,M,1978,45,,2,Sales Executive,Sales,No,8,,Part Time,Yes,travel_rarely,No,2,1,3,"3,0",3,7,Other,3,48050.0,4004.17,495.75396825396825,,"10410,83$",19,4,3,2,2,"4,0",0,
327,F,1997,26,,17,Human Resources,['Human Resources'],Yes,7,,,Yes,travel_frequently,Yes,1,1,2,"3,0",1,0,Life Sciences,4,27363.333333333332,2284.17,282.8015873015873,,"5938,83$",11,2,3,3,2,,0,"8,0"
328,F,1982,41,Single,2,Healthcare Representative,Research & Development,No,8,,Part Time,Yes,,Yes,2,0,3,"3,0",0,7,Other,4,53914.11,4492.84,556.2566609977324,,"11681,39$",17,1,2,3,1,"3,0",2,"10,0"
329,M,1989,34,Single,21,Sales Executive,Sales,No,10,,Part Time,Yes,,,2,0,3,"3,0",5,7,,4,53370.0,4424.723333333333,550.6428571428571,,"11563,50$",12,4,4,4,4,"3,0",1,"10,0"
330,M,1992,31,Divorced,6,Sales Executive,Sales,No,7,,Part Time,Yes,travel_rarely,No,2,2,4,"4,0",5,7,Medical,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",22,1,4,4,4,"4,0",4,"13,0"
331,M,1980,43,Divorced,9,Laboratory Technician,Research & Development,No,8,,Part Time,No,travel_frequently,,2,1,3,"3,0",4,7,,5,53914.11,4492.84,556.2566609977324,,"11681,39$",13,4,3,3,2,"3,0",3,"10,0"
332,F,1970,53,Single,1,Sales Executive,Sales,No,14,,Part Time,No,,,2,0,2,"4,0",8,10,,1,53914.11,4492.84,556.2566609977324,,"11681,39$",20,4,3,1,4,"4,0",7,"18,0"
333,M,1986,37,Married,3,Manufacturing Director,Research & Development,No,10,,Part Time,Yes,travel_rarely,No,3,1,2,,7,8,Other,3,94340.0,7861.67,973.3492063492064,,"20440,33$",15,3,3,3,3,"3,0",1,
334,M,1969,54,,19,Human Resources,['Human Resources'],No,9,,Part Time,Yes,,,3,1,1,,7,1,,4,100071.84,8339.32,1032.4872861766066,,"21682,23$",15,3,3,2,3,"4,0",2,"16,0"
335,F,1985,38,,7,Sales Executive,Sales,No,7,,Part Time,Yes,travel_rarely,No,2,0,2,,0,5,Marketing,4,53914.11,4492.84,556.2566609977324,,"11681,39$",20,4,2,4,1,"3,0",0,
336,M,1994,29,Divorced,1,Research Scientist,Research & Development,No,10,,Part Time,Yes,,,1,1,5,"3,0",2,8,Life Sciences,4,28111.13,2342.59,290.03550973654063,36.25443871706758,"6090,75$",18,2,1,4,4,"3,0",1,"10,0"
337,F,1989,34,,9,Healthcare Representative,Research & Development,No,8,,Part Time,No,,,3,0,3,"3,0",7,7,Medical,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",14,4,2,2,2,"4,0",1,"9,0"
338,F,1984,39,Single,2,Healthcare Representative,Research & Development,No,20,"7,0",Part Time,No,,No,2,0,4,"3,0",11,10,Technical Degree,4,53914.11,4492.84,556.2566609977324,,"11681,39$",11,4,2,3,1,"3,0",1,"20,0"
339,M,1991,32,,10,Sales Executive,Sales,No,10,,Full Time,Yes,,,2,0,2,"3,0",0,8,Marketing,3,53960.0,4496.67,556.7301587301588,,"11691,33$",12,4,3,4,4,"2,0",1,"10,0"
340,F,1985,38,,1,Healthcare Representative,Research & Development,No,9,,Part Time,Yes,travel_rarely,,2,0,4,"3,0",1,8,Life Sciences,4,53914.11,4492.84,556.2566609977324,,"11681,39$",13,2,4,4,3,,0,"10,0"
341,F,1996,27,Married,1,Manufacturing Director,Research & Development,No,9,,Part Time,No,travel_rarely,,3,0,3,"3,0",0,7,Life Sciences,2,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",11,3,3,1,4,"3,0",1,"9,0"
342,F,1991,32,Single,3,Research Director,Research & Development,No,7,,Full Time,No,travel_rarely,,3,0,6,"3,0",7,7,Life Sciences,2,111590.0,9299.17,1151.3253968253969,143.9156746031746,"24177,83$",15,3,3,4,4,"3,0",3,"10,0"
343,M,1976,47,Single,-35,Sales Executive,Sales,No,7,,,No,,,2,0,2,"3,0",1,7,Marketing,4,49640.0,4133.33,511.7460317460318,,"10746,67$",12,4,3,1,4,"3,0",2,"20,0"
344,M,1996,27,,10,Manufacturing Director,Research & Development,No,9,,Part Time,Yes,travel_frequently,No,3,2,4,"4,0",1,7,,2,87930.0,7327.5,907.2142857142858,113.40178571428572,"19051,50$",21,4,3,1,3,"2,0",1,"9,0"
345,M,1982,41,,1,Manager,,No,22,,Full Time,No,,No,5,1,3,,2,10,,3,191890.0,15959.423333333332,1979.8174603174605,,"41576,17$",12,4,2,3,2,"3,0",1,"22,0"
346,F,1995,28,,-35,Research Scientist,Research & Development,Yes,7,,Part Time,Yes,,Yes,1,0,4,"3,0",3,7,,2,22160.0,1846.67,228.63492063492063,,"4801,33$",13,35,1,2,4,"3,0",7,"10,0"
347,F,1987,36,Married,8,Research Director,Research & Development,No,8,,Full Time,No,,,3,1,2,"3,0",0,5,,3,117130.0,9760.83,1208.484126984127,,"25378,17$",14,1,4,1,1,"3,0",9,"10,0"
348,M,1993,30,Divorced,27,Sales Executive,Sales,No,8,,,Yes,,No,2,1,2,,7,7,Marketing,5,53040.0,4420.0,547.2380952380953,,"11492,00$",23,3,3,4,4,"2,0",7,"10,0"
349,M,1967,56,Married,9,Healthcare Representative,Research & Development,No,10,,Full Time,No,travel_rarely,No,4,0,1,"3,0",1,1,,3,111030.0,9252.5,1145.547619047619,143.19345238095238,"24056,50$",11,3,3,4,3,"2,0",7,"30,0"
350,M,1978,45,Single,2,Sales Representative,Sales,No,8,,Full Time,Yes,travel_rarely,No,2,0,3,"3,0",3,1,,2,66320.0,5526.67,684.2539682539683,,"14369,33$",13,2,1,3,1,"3,0",0,"9,0"
351,M,1987,36,Single,8,Sales Executive,Sales,No,10,,Part Time,No,non-travel,,3,0,1,"3,0",0,9,,4,75870.0,6322.5,782.7857142857142,,"16438,50$",15,1,2,1,2,"3,0",1,"10,0"
352,F,1994,29,Married,27,Healthcare Representative,Research & Development,No,8,,Part Time,Yes,,No,2,1,3,"3,0",1,1,Medical,3,43350.0,3612.5,447.2619047619048,,"9392,50$",12,2,3,3,1,"2,0",4,"11,0"
353,F,1985,38,Single,2,Manufacturing Director,Research & Development,No,15,,Full Time,Yes,,,2,0,2,"3,0",4,12,Life Sciences,4,59800.0,4983.33,616.984126984127,,"12956,67$",12,1,4,1,4,"3,0",6,"17,0"
354,F,1983,40,,-13,Healthcare Representative,Research & Development,No,8,,,Yes,,No,2,1,2,"4,0",3,7,Medical,2,42423.333333333336,3536.67,437.8730158730159,,"9195,33$",24,13,4,2,4,"3,0",1,"8,0"
355,M,1981,42,,8,Manager,,No,24,,,Yes,travel_frequently,No,5,1,4,"3,0",14,9,,3,191324.62,15943.72,1973.9841269841268,,"41453,67$",13,2,3,4,2,"2,0",1,"24,0"
356,F,1987,36,,1,Manufacturing Director,Research & Development,No,9,,Part Time,No,travel_rarely,,2,1,2,"3,0",0,5,Other,3,52280.0,4356.67,539.3968253968254,,"11327,33$",15,3,3,2,1,"3,0",0,
357,M,1994,29,Married,23,Research Scientist,Research & Development,No,10,,Part Time,Yes,travel_rarely,,1,1,3,"4,0",0,7,,2,27000.0,2250.0,278.57142857142856,,"5850,00$",24,3,4,3,3,"3,0",1,"10,0"
358,M,1968,55,Single,2,Sales Executive,Sales,Yes,9,,Part Time,No,,,2,0,3,"3,0",7,3,Medical,1,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",16,3,3,4,3,"2,0",4,
359,F,1995,28,,2,Sales Executive,Sales,No,8,,Part Time,Yes,,,2,0,2,"4,0",7,5,,4,53914.11,4492.84,556.2566609977324,,"11681,39$",20,2,3,2,1,"3,0",1,"8,0"
360,F,1997,26,Married,5,Research Scientist,Research & Development,Yes,8,,Part Time,Yes,,,1,1,2,"3,0",1,7,Medical,2,23660.0,1971.67,244.11111111111111,,"5126,33$",14,3,2,3,1,"3,0",1,"8,0"
361,M,1979,44,,9,Research Scientist,Research & Development,No,8,,,Yes,,Yes,1,0,0,"3,0",7,1,,2,28111.13,2342.59,290.03550973654063,,"6090,75$",13,2,3,1,4,"3,0",1,"8,0"
362,F,1982,41,Divorced,2,Laboratory Technician,Research & Development,Yes,7,,,Yes,,Yes,1,1,1,"3,0",1,0,Life Sciences,4,28111.13,2342.59,290.03550973654063,,"6090,75$",13,2,1,4,3,"2,0",4,
363,M,1992,31,,7,Sales Representative,Sales,No,7,,Part Time,No,travel_rarely,,1,0,2,,5,2,,4,23290.0,1940.83,240.2936507936508,,"5046,17$",15,2,2,3,2,"4,0",3,
364,M,1997,26,,-28,Sales Executive,Sales,No,7,,Part Time,Yes,travel_frequently,,2,0,2,"3,0",0,7,Medical,3,42940.0,3567.7766666666666,443.031746031746,,"9303,67$",12,28,2,1,2,"3,0",1,
365,F,1992,31,,12,Healthcare Representative,Research & Development,No,9,,Part Time,No,,,2,2,2,"3,0",8,5,Medical,3,53914.11,4492.84,556.2566609977324,,"11681,39$",11,4,3,4,3,"1,0",0,"10,0"
366,F,1991,32,Married,3,Manufacturing Director,Research & Development,No,8,,Full Time,No,,,2,1,2,"3,0",6,3,Medical,4,67250.0,5582.223333333332,693.8492063492063,,"14570,83$",12,3,3,1,3,"4,0",1,"8,0"
367,M,1987,36,Married,3,Sales Executive,Sales,Yes,16,,Full Time,No,travel_rarely,,3,1,6,,3,7,Life Sciences,1,103250.0,8604.17,1065.2777777777778,,"22370,83$",11,3,2,4,1,"3,0",1,
368,M,1978,45,,-47,Laboratory Technician,Research & Development,No,9,,Part Time,Yes,non-travel,,2,0,5,"3,0",0,8,,2,44470.0,3676.6666666666665,458.8174603174604,,"9635,17$",12,47,3,2,2,"2,0",1,
369,M,1984,39,Single,2,Sales Executive,Sales,No,8,,Part Time,No,travel_rarely,No,3,0,3,"3,0",0,7,,5,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",18,1,4,3,4,"3,0",0,"9,0"
370,M,1987,36,Divorced,8,Sales Executive,Sales,No,7,,Part Time,Yes,non-travel,No,2,2,3,,0,7,Technical Degree,4,53914.11,4492.84,556.2566609977324,,"11681,39$",13,1,3,4,4,"3,0",4,"12,0"
371,M,1977,46,,7,Manufacturing Director,Research & Development,No,8,,Full Time,No,,,3,1,3,"3,0",0,7,Medical,2,108450.0,9037.5,1118.928571428571,139.86607142857142,"23497,50$",13,4,3,3,2,"3,0",6,
372,F,1969,54,,17,Manufacturing Director,Research & Development,No,10,,Part Time,Yes,travel_rarely,,3,1,2,,0,8,Technical Degree,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",11,3,3,3,3,"3,0",8,"22,0"
373,F,1993,30,,8,Research Director,Research & Development,No,8,,Part Time,Yes,travel_rarely,Yes,3,3,4,"3,0",1,7,,2,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,2,4,1,3,"2,0",0,
374,M,1997,26,Married,2,Manufacturing Director,Research & Development,No,8,,Full Time,No,,,2,0,2,"3,0",1,3,Medical,2,54720.0,4558.89,564.5714285714286,70.57142857142857,"11856,00$",12,4,4,4,2,"3,0",1,
375,M,1968,55,Married,18,Healthcare Representative,Research & Development,No,8,,Full Time,Yes,travel_frequently,,2,2,3,"3,0",6,7,Medical,4,63850.0,5320.83,658.7698412698413,,"13834,17$",14,3,3,2,4,"3,0",3,
376,F,1973,50,Married,1,Sales Executive,Sales,No,18,,Full Time,Yes,non-travel,,2,1,3,"3,0",0,13,Life Sciences,3,63470.0,5289.17,654.8492063492064,,"13751,83$",12,4,3,3,1,"3,0",0,
377,F,1991,32,Single,29,Laboratory Technician,Research & Development,No,8,,Part Time,Yes,non-travel,No,1,0,2,"3,0",7,7,,4,28111.13,2342.59,290.03550973654063,,"6090,75$",12,4,3,3,2,"3,0",9,"10,0"
378,F,1970,53,,2,Sales Executive,Sales,No,15,,Part Time,Yes,travel_frequently,,3,1,2,"3,0",6,12,Marketing,3,75250.0,6377.22,776.3888888888888,97.0486111111111,"16304,17$",12,3,2,2,1,,2,"30,0"
379,M,1983,40,Married,26,Sales Executive,Sales,No,7,,Part Time,No,travel_rarely,,2,1,3,"3,0",7,5,,3,53914.11,4492.84,556.2566609977324,,"11681,39$",14,3,3,1,2,"2,0",1,"8,0"
380,M,1968,55,Single,2,Manager,,No,9,,,Yes,,No,4,0,3,"3,0",6,2,,1,153407.07,12783.92,1582.7713464696226,,"33238,20$",15,3,2,1,2,"4,0",7,
381,M,1995,28,Single,24,Healthcare Representative,Research & Development,Yes,10,,Part Time,No,non-travel,No,3,0,2,"3,0",1,9,,2,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,2,2,1,1,"2,0",1,"10,0"
382,F,1995,28,Single,10,Research Scientist,Research & Development,No,8,,,Yes,travel_rarely,No,2,0,4,"3,0",1,7,Other,3,36423.333333333336,3050.0,377.6190476190477,,"7930,00$",13,3,3,3,4,"4,0",3,
383,M,1988,35,,4,Sales Executive,Sales,Yes,8,,Part Time,Yes,,,3,0,2,"4,0",4,7,Technical Degree,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",22,4,3,1,1,"3,0",0,"9,0"
384,F,1990,33,Single,-36,Research Scientist,Research & Development,Yes,13,,Part Time,Yes,travel_frequently,No,2,0,4,"4,0",3,8,Medical,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",22,36,2,3,2,"3,0",1,"14,0"
385,M,1998,25,Married,4,Laboratory Technician,Research & Development,Yes,7,,Part Time,Yes,,,1,1,3,,5,6,Technical Degree,1,28111.13,2342.59,290.03550973654063,,"6090,75$",15,4,3,4,2,"4,0",1,"7,0"
386,M,1985,38,,10,Sales Executive,Sales,No,8,,Part Time,Yes,,Yes,3,2,2,"3,0",2,7,,4,87400.0,7283.33,901.7460317460316,,"18936,67$",14,3,2,3,2,,0,"9,0"
387,F,1995,28,,-12,Manufacturing Director,Research & Development,No,9,,Part Time,Yes,,,3,3,3,"3,0",1,7,,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",17,12,3,2,2,"2,0",0,
388,F,1980,43,Married,27,Manufacturing Director,Research & Development,No,8,,Part Time,No,travel_frequently,No,3,1,1,"3,0",0,1,Life Sciences,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",11,3,3,1,3,"3,0",8,"18,0"
389,M,1984,39,,2,Healthcare Representative,Research & Development,Yes,18,,Full Time,No,travel_frequently,No,4,3,4,"3,0",11,5,Life Sciences,3,153407.07,12783.92,1582.7713464696226,197.8464183087028,"33238,20$",11,1,3,4,4,"3,0",7,"21,0"
390,M,1983,40,,14,Research Director,Research & Development,No,20,,Full Time,Yes,travel_rarely,No,5,0,2,,4,9,,3,191324.62,15943.72,1973.9841269841268,,"41453,67$",14,3,2,3,1,,1,
391,M,1994,29,Married,8,Manufacturing Director,Research & Development,No,10,,,Yes,travel_rarely,,2,1,2,"3,0",1,2,Medical,1,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",15,2,2,4,3,"2,0",1,"10,0"
392,F,1983,40,,-32,Research Director,Research & Development,No,18,,Full Time,No,,No,3,0,3,"3,0",2,13,,4,134990.0,11249.17,1392.7539682539682,,"29247,83$",17,2,3,3,3,"2,0",9,"20,0"
393,M,1997,26,,3,Laboratory Technician,Research & Development,No,8,,Part Time,Yes,travel_rarely,,1,1,2,"4,0",0,7,,4,28111.13,2342.59,290.03550973654063,,"6090,75$",22,1,4,4,2,"3,0",1,"8,0"
394,M,1988,35,Divorced,2,Manufacturing Director,Research & Development,No,7,,,Yes,travel_rarely,No,3,1,2,"3,0",6,4,,3,100071.84000000001,8339.32,1032.4872861766066,,"21682,23$",18,3,2,2,2,"4,0",2,"15,0"
395,F,1970,53,Divorced,7,Manager,Research & Development,No,7,,Full Time,No,,No,5,1,6,"3,0",4,7,Medical,2,191324.62,15943.72,1973.9841269841268,,"41453,67$",18,4,3,3,2,"3,0",3,"26,0"
396,M,1988,35,,17,Sales Executive,Sales,No,7,,Part Time,Yes,,,2,3,2,"3,0",1,7,Life Sciences,4,53914.11,4492.84,556.2566609977324,,"11681,39$",15,3,3,1,4,"3,0",3,"15,0"
397,F,1990,33,,25,Sales Executive,Sales,No,10,,Part Time,Yes,,No,2,1,3,"3,0",0,1,Medical,3,53914.11,4492.84,556.2566609977324,,"11681,39$",12,2,3,3,1,"2,0",1,
398,M,1987,36,Divorced,6,Laboratory Technician,Research & Development,No,7,,Part Time,Yes,,No,1,1,4,"3,0",1,7,Life Sciences,4,28111.13,2342.59,290.03550973654063,,"6090,75$",14,3,1,3,3,"3,0",1,
399,M,1993,30,Divorced,7,Laboratory Technician,Research & Development,No,10,,Part Time,Yes,travel_rarely,,2,3,4,,8,9,Life Sciences,4,34910.0,2909.17,360.1825396825397,45.02281746031746,"7563,83$",13,3,3,3,1,"2,0",1,
400,M,1963,60,Divorced,-29,Sales Executive,Sales,No,11,,,Yes,,,2,1,3,"3,0",1,9,,4,52476.666666666664,4350.0,538.5714285714286,,"11310,00$",18,29,4,4,2,"3,0",0,"12,0"
401,F,1991,32,Single,2,Research Scientist,Research & Development,No,8,,Part Time,No,,Yes,2,0,2,"3,0",0,7,Life Sciences,2,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",14,4,3,3,4,"3,0",4,"10,0"
402,F,1987,36,Divorced,1,Manufacturing Director,Research & Development,No,7,,Full Time,Yes,,Yes,3,1,2,"4,0",7,7,Technical Degree,3,102520.0,8543.33,1057.7460317460318,,"22212,67$",21,3,1,1,3,"3,0",2,"17,0"
403,M,1996,27,,14,Research Scientist,Research & Development,No,9,,,Yes,travel_rarely,,1,2,3,"3,0",6,8,,3,28111.13,2342.59,290.03550973654063,,"6090,75$",14,1,3,1,4,"2,0",1,
404,M,1980,43,,3,Research Director,Research & Development,No,8,,Full Time,Yes,,No,5,1,2,"3,0",0,7,Life Sciences,3,197400.0,16450.0,2036.6666666666667,,"42770,00$",14,3,1,4,2,"3,0",3,
405,F,1994,29,Divorced,1,Research Director,Research & Development,No,7,,Full Time,Yes,travel_rarely,No,4,2,2,"3,0",1,7,,3,153407.07,12783.92,1582.7713464696226,,"33238,20$",14,4,2,4,2,"2,0",3,"9,0"
406,M,1964,59,Single,-24,Manufacturing Director,Research & Development,No,9,,Part Time,No,,No,3,0,6,"3,0",5,4,,4,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,24,3,4,4,"2,0",6,
407,F,1980,43,Single,4,Sales Executive,Sales,No,21,,Part Time,Yes,travel_rarely,No,3,0,3,"3,0",15,17,Marketing,4,100071.84,8339.32,1032.4872861766066,,"21682,23$",14,4,2,4,4,"4,0",3,"23,0"
408,F,1979,44,Married,15,Healthcare Representative,Research & Development,Yes,10,,Part Time,Yes,travel_rarely,,3,1,2,"3,0",0,5,Medical,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",11,1,3,4,4,"3,0",1,
409,F,1994,29,Divorced,7,Laboratory Technician,Research & Development,Yes,7,,,Yes,,Yes,1,2,2,"3,0",7,7,Technical Degree,3,28111.13,2342.59,290.03550973654063,,"6090,75$",13,2,3,3,1,"3,0",3,"10,0"
410,M,1991,32,Married,8,Sales Executive,Sales,No,10,,Full Time,No,travel_rarely,,2,2,4,"3,0",0,8,,3,62090.0,5174.17,640.6111111111111,,"13452,83$",15,3,4,4,3,"4,0",1,
411,F,1987,36,Married,10,Healthcare Representative,Research & Development,No,7,,Part Time,Yes,travel_rarely,No,3,0,0,"3,0",1,7,Technical Degree,4,70940.0,5840.556666666666,731.9206349206349,,"15370,33$",12,4,3,3,1,"3,0",3,
412,M,1971,52,Single,5,Sales Executive,Sales,Yes,8,,Part Time,Yes,,Yes,3,0,2,"3,0",7,7,,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",19,2,3,2,3,"2,0",9,
413,M,1984,39,Single,-33,Manufacturing Director,Research & Development,No,8,,,Yes,travel_rarely,,2,0,6,"3,0",1,7,,2,45340.0,3778.33,467.7936507936508,,"9823,67$",11,1,3,3,1,,0,
414,M,1989,34,,9,Healthcare Representative,Research & Development,No,9,,Part Time,Yes,,,3,1,0,,1,6,,3,85000.0,7083.33,876.984126984127,,"18416,67$",11,4,3,4,4,"2,0",0,"10,0"
415,F,1985,38,,2,Sales Executive,Sales,No,7,,,Yes,,,2,1,3,"3,0",1,7,Life Sciences,2,53914.11,4492.84,556.2566609977324,,"11681,39$",15,2,3,1,4,"3,0",3,"11,0"
416,F,1987,36,Married,-12,Sales Executive,Sales,No,15,,Part Time,Yes,travel_frequently,No,2,1,2,"3,0",6,13,Marketing,3,46390.0,3865.83,478.62698412698415,,"10051,17$",16,12,4,1,4,"2,0",2,
417,F,1988,35,,1,Laboratory Technician,Research & Development,No,9,,Part Time,No,,No,2,1,0,"3,0",0,0,,3,53630.0,4469.17,553.3253968253969,,"11619,83$",12,4,2,4,2,"3,0",0,"10,0"
418,M,1968,55,,13,Sales Executive,Sales,Yes,19,,Full Time,Yes,,,4,0,2,"3,0",3,8,,4,153407.07,12783.92,1582.7713464696226,,"33238,20$",17,1,4,3,3,"2,0",6,
419,M,1989,34,,29,Laboratory Technician,Research & Development,No,8,,Part Time,No,,,2,2,1,"3,0",7,7,,3,53914.11,4492.84,556.2566609977324,,"11681,39$",13,2,3,3,1,"3,0",4,"10,0"
420,F,1980,43,Single,6,Research Scientist,Research & Development,No,20,,Part Time,No,,Yes,2,0,3,"3,0",1,8,Medical,3,40810.0,3400.83,421.0555555555556,,"8842,17$",14,1,2,3,1,"1,0",1,"20,0"
421,F,1981,42,Married,10,Manager,,No,20,,Full Time,No,travel_rarely,,4,1,5,"3,0",0,9,Human Resources,3,153407.07,12783.92,1582.7713464696226,,"33238,20$",14,3,3,1,3,"3,0",0,"21,0"
422,M,1997,26,Single,7,Laboratory Technician,Research & Development,No,7,,Full Time,Yes,travel_rarely,No,1,0,2,"3,0",0,7,,3,35780.0,2975.0,369.1587301587302,,"7752,33$",12,3,4,1,4,"3,0",0,"8,0"
423,F,1994,29,Single,14,Healthcare Representative,Research & Development,Yes,8,,Part Time,Yes,,Yes,3,0,1,"3,0",7,7,Other,1,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,3,3,4,1,"3,0",0,
424,F,1969,54,,1,Research Director,Research & Development,No,20,,Full Time,No,,,4,0,3,"3,0",12,7,,3,173280.0,13859.166666666666,1787.809523809524,223.47619047619048,"37544,00$",19,4,3,4,4,"2,0",6,"29,0"
425,M,1968,55,Divorced,1,Research Director,Research & Development,No,7,,Full Time,Yes,,No,4,2,4,"3,0",0,0,,4,153407.07,12783.92,1582.7713464696226,,"33238,20$",13,2,4,4,4,"4,0",2,"31,0"
426,M,1983,40,,9,Laboratory Technician,Research & Development,No,8,,Part Time,Yes,non-travel,No,2,2,2,"3,0",0,7,Other,4,53914.11,4492.84,556.2566609977324,,"11681,39$",11,3,3,3,3,,3,"11,0"
427,M,1992,31,Divorced,8,Sales Executive,Sales,No,13,,Full Time,Yes,,,3,1,5,,9,9,,2,107930.0,8994.17,1113.563492063492,,"23384,83$",18,1,3,4,1,"3,0",1,"13,0"
